,Unnamed: 0,Project,File,Class,Code,isDC,isGC
16,16,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\StoreFactory.,StoreFactory,"public final class StoreFactory { private StoreFactory() { } public static Store open(String name, String mode) throws IOException { return new KahaStore(name, mode,new AtomicLong()); } public static Store open(File directory, String mode) throws IOException { return new KahaStore(directory, mode, new AtomicLong()); } public static Store open(String name, String mode, AtomicLong size) throws IOException { return new KahaStore(name, mode,size); } public static Store open(File directory, String mode, AtomicLong size) throws IOException { return new KahaStore(directory, mode, size); } public static boolean delete(String name) throws IOException { KahaStore store = new KahaStore(name, rw ); return store delete(); } public static boolean delete(File directory) throws IOException { KahaStore store = new KahaStore(directory, rw ); return store delete(); } }",1.0,
17,17,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\StringMarshaller.,StringMarshaller,"public class StringMarshaller implements Marshaller<String> { public void writePayload(String object, DataOutput dataOut) throws IOException { dataOut writeUTF(object); } public String readPayload(DataInput dataIn) throws IOException { return dataIn readUTF(); } }",1.0,
18,18,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\IndexRootContainer.,IndexRootContainer,"class IndexRootContainer { protected static final Marshaller ROOT MARSHALLER = Store OBJECT MARSHALLER; private static final Logger LOG = LoggerFactory getLogger(IndexRootContainer class); protected IndexItem root; protected IndexManager indexManager; protected DataManager dataManager; protected Map<Object, StoreEntry> map = new ConcurrentHashMap<Object, StoreEntry>(); protected LinkedList<StoreEntry> list = new LinkedList<StoreEntry>(); IndexRootContainer(IndexItem root, IndexManager im, DataManager dfm) throws IOException { this root = root; this indexManager = im; this dataManager = dfm; long nextItem = root getNextItem(); while (nextItem != Item POSITION NOT SET) { StoreEntry item = indexManager getIndex(nextItem); StoreLocation data = item getKeyDataItem(); Object key = dataManager readItem(ROOT MARSHALLER, data); map put(key, item); list add(item); nextItem = item getNextItem(); dataManager addInterestInFile(item getKeyFile()); } } Set<Object> getKeys() { return map keySet(); } IndexItem addRoot(IndexManager containerIndexManager, ContainerId key) throws IOException { if (map containsKey(key)) { removeRoot(containerIndexManager, key); } StoreLocation data = dataManager storeDataItem(ROOT MARSHALLER, key); IndexItem newRoot = indexManager createNewIndex(); newRoot setKeyData(data); IndexItem containerRoot = containerIndexManager createNewIndex(); containerIndexManager storeIndex(containerRoot); newRoot setValueOffset(containerRoot getOffset()); IndexItem last = list isEmpty() null (IndexItem)list getLast(); last = last == null root last; long prev = last getOffset(); newRoot setPreviousItem(prev); indexManager storeIndex(newRoot); last setNextItem(newRoot getOffset()); indexManager storeIndex(last); map put(key, newRoot); list add(newRoot); return containerRoot; } void removeRoot(IndexManager containerIndexManager, ContainerId key) throws IOException { StoreEntry oldRoot = map remove(key); if (oldRoot != null) { dataManager removeInterestInFile(oldRoot getKeyFile()); IndexItem containerRoot = containerIndexManager getIndex(oldRoot getValueOffset()); if (containerRoot != null) { containerIndexManager freeIndex(containerRoot); } int index = list indexOf(oldRoot); IndexItem prev = index > 0 (IndexItem)list get(index - 1) root; prev = prev == null root prev; IndexItem next = index < (list size() - 1) (IndexItem)list get(index + 1) null; if (next != null) { prev setNextItem(next getOffset()); next setPreviousItem(prev getOffset()); indexManager updateIndexes(next); } else { prev setNextItem(Item POSITION NOT SET); } indexManager updateIndexes(prev); list remove(oldRoot); indexManager freeIndex((IndexItem)oldRoot); } } IndexItem getRoot(IndexManager containerIndexManager, ContainerId key) throws IOException { StoreEntry index = map get(key); if (index != null) { return containerIndexManager getIndex(index getValueOffset()); } return null; } boolean doesRootExist(Object key) { return map containsKey(key); } }",1.0,
20,20,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\StoreLockedExcpetion.,StoreLockedExcpetion,public class StoreLockedExcpetion extends IOException { private static final long serialVersionUID = 3857646689671366926L; public StoreLockedExcpetion() { } public StoreLockedExcpetion(String s) { super(s); } },1.0,
22,22,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\ControlFile.,ControlFile,"public final class ControlFile { private static final boolean DISABLE FILE LOCK = true equals(System getProperty( java nio channels FileLock broken , false )); private final File file; private final RandomAccessFile randomAccessFile; private final int maxRecordSize; private final int firstRecordStart; private final int secondRecordStart; private final int firstRecordEnd; private final int secondRecordEnd; private long version; private FileLock lock; private boolean disposed; public ControlFile(File file, int recordSize) throws IOException { this file = file; this maxRecordSize = recordSize + 4; this firstRecordStart = 8; this secondRecordStart = 8 + maxRecordSize + 8 + 8; this firstRecordEnd = firstRecordStart+maxRecordSize; this secondRecordEnd = secondRecordStart+maxRecordSize; randomAccessFile = new RandomAccessFile(file, rw ); } public void lock() throws IOException { if (DISABLE FILE LOCK) { return; } if (lock == null) { try { lock = randomAccessFile getChannel() tryLock(0, Math max(1, randomAccessFile getChannel() size()), false); } catch (OverlappingFileLockException e) { throw IOExceptionSupport create( Control file + file + could not be locked ,e); } if (lock == null) { throw new IOException( Control file + file + could not be locked ); } } } public void unlock() throws IOException { if (DISABLE FILE LOCK) { return; } if (lock != null) { lock release(); lock = null; } } public void dispose() { if (disposed) { return; } disposed = true; try { unlock(); } catch (IOException ignore) { } try { randomAccessFile close(); } catch (IOException ignore) { } } public synchronized ByteSequence load() throws IOException { long l = randomAccessFile length(); if (l < maxRecordSize) { return null; } randomAccessFile seek(firstRecordStart-8); long v1 = randomAccessFile readLong(); randomAccessFile seek(firstRecordEnd); long v1check = randomAccessFile readLong(); randomAccessFile seek(secondRecordStart - 8); long v2 = randomAccessFile readLong(); randomAccessFile seek(secondRecordEnd); long v2check = randomAccessFile readLong(); byte[] data = null; if (v2 == v2check) { version = v2; randomAccessFile seek(secondRecordStart); int size = randomAccessFile readInt(); data = new byte[size]; randomAccessFile readFully(data); } else if (v1 == v1check) { version = v1; randomAccessFile seek(firstRecordStart); int size = randomAccessFile readInt(); data = new byte[size]; randomAccessFile readFully(data); } else { throw new IOException( Control data corrupted ); } return new ByteSequence(data, 0, data length); } public void store(ByteSequence data, boolean sync) throws IOException { version++; randomAccessFile setLength((maxRecordSize * 2) + 32); randomAccessFile seek(0); randomAccessFile writeLong(version); randomAccessFile writeInt(data getLength()); randomAccessFile write(data getData()); randomAccessFile seek(firstRecordEnd); randomAccessFile writeLong(version); randomAccessFile writeLong(version); randomAccessFile writeInt(data getLength()); randomAccessFile write(data getData()); randomAccessFile seek(secondRecordEnd); randomAccessFile writeLong(version); if (sync) { randomAccessFile getFD() sync(); } } public boolean isDisposed() { return disposed; } }",1.0,
23,23,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\DataFile.,DataFile,"public class DataFile extends LinkedNode implements Comparable<DataFile> { protected final File file; protected final Integer dataFileId; protected final int preferedSize; protected int length; protected int referenceCount; DataFile(File file, int number, int preferedSize) { this file = file; this preferedSize = preferedSize; this dataFileId = Integer valueOf(number); length = (int)(file exists() file length() 0); } File getFile() { return file; } public Integer getDataFileId() { return dataFileId; } public synchronized int getLength() { return length; } public void setLength(int length) { this length = length; } public synchronized void incrementLength(int size) { length += size; } public synchronized int increment() { return ++referenceCount; } public synchronized int decrement() { return --referenceCount; } public synchronized int getReferenceCount(){ return referenceCount; } public synchronized boolean isUnused() { return referenceCount <= 0; } public synchronized String toString() { String result = file getName() + number = + dataFileId + , length = + length + refCount = + referenceCount; return result; } public synchronized RandomAccessFile openRandomAccessFile(boolean appender) throws IOException { RandomAccessFile rc = new RandomAccessFile(file, rw ); if (appender) { if (length < preferedSize) { try { rc setLength(preferedSize); } catch (IOException ioe) { try { rc close(); } catch(Exception ignored) { } throw ioe; } } } return rc; } public synchronized void closeRandomAccessFile(RandomAccessFile file) throws IOException { if (length != file length()) { file setLength(getLength()); } file close(); } public synchronized boolean delete() throws IOException { return file delete(); } public synchronized void move(File targetDirectory) throws IOException{ IOHelper moveFile(file,targetDirectory); } public int compareTo(DataFile df) { return dataFileId - df dataFileId; } Override public boolean equals(Object o) { boolean result = false; if (o instanceof DataFile) { result = compareTo((DataFile)o) == 0; } return result; } Override public int hashCode() { return dataFileId; } }",1.0,
25,25,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\DataFileAccessorPool.,DataFileAccessorPool,"public class DataFileAccessorPool { private final AsyncDataManager dataManager; private final Map<Integer, Pool> pools = new HashMap<Integer, Pool>(); private boolean closed; private int maxOpenReadersPerFile = 5; class Pool { private final DataFile file; private final List<DataFileAccessor> pool = new ArrayList<DataFileAccessor>(); private boolean used; private int openCounter; private boolean disposed; public Pool(DataFile file) { this file = file; } public DataFileAccessor openDataFileReader() throws IOException { DataFileAccessor rc = null; if (pool isEmpty()) { rc = new DataFileAccessor(dataManager, file); } else { rc = (DataFileAccessor)pool remove(pool size() - 1); } used = true; openCounter++; return rc; } public synchronized void closeDataFileReader(DataFileAccessor reader) { openCounter--; if (pool size() >= maxOpenReadersPerFile || disposed) { reader dispose(); } else { pool add(reader); } } public synchronized void clearUsedMark() { used = false; } public synchronized boolean isUsed() { return used; } public synchronized void dispose() { for (DataFileAccessor reader pool) { reader dispose(); } pool clear(); disposed = true; } public synchronized int getOpenCounter() { return openCounter; } } public DataFileAccessorPool(AsyncDataManager dataManager) { this dataManager = dataManager; } synchronized void clearUsedMark() { for (Iterator iter = pools values() iterator(); iter hasNext();) { Pool pool = (Pool)iter next(); pool clearUsedMark(); } } synchronized void disposeUnused() { for (Iterator<Pool> iter = pools values() iterator(); iter hasNext();) { Pool pool = iter next(); if (!pool isUsed()) { pool dispose(); iter remove(); } } } synchronized void disposeDataFileAccessors(DataFile dataFile) { if (closed) { throw new IllegalStateException( Closed ); } Pool pool = pools get(dataFile getDataFileId()); if (pool != null) { if (pool getOpenCounter() == 0) { pool dispose(); pools remove(dataFile getDataFileId()); } else { throw new IllegalStateException( The data file is still in use + dataFile + , use count + pool getOpenCounter()); } } } synchronized DataFileAccessor openDataFileAccessor(DataFile dataFile) throws IOException { if (closed) { throw new IOException( Closed ); } Pool pool = pools get(dataFile getDataFileId()); if (pool == null) { pool = new Pool(dataFile); pools put(dataFile getDataFileId(), pool); } return pool openDataFileReader(); } synchronized void closeDataFileAccessor(DataFileAccessor reader) { Pool pool = pools get(reader getDataFile() getDataFileId()); if (pool == null || closed) { reader dispose(); } else { pool closeDataFileReader(reader); } } public synchronized void close() { if (closed) { return; } closed = true; for (Iterator<Pool> iter = pools values() iterator(); iter hasNext();) { Pool pool = iter next(); pool dispose(); } pools clear(); } }",1.0,
26,26,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\DataFileAccessorPool.,Pool,"class Pool { private final DataFile file; private final List<DataFileAccessor> pool = new ArrayList<DataFileAccessor>(); private boolean used; private int openCounter; private boolean disposed; public Pool(DataFile file) { this file = file; } public DataFileAccessor openDataFileReader() throws IOException { DataFileAccessor rc = null; if (pool isEmpty()) { rc = new DataFileAccessor(dataManager, file); } else { rc = (DataFileAccessor)pool remove(pool size() - 1); } used = true; openCounter++; return rc; } public synchronized void closeDataFileReader(DataFileAccessor reader) { openCounter--; if (pool size() >= maxOpenReadersPerFile || disposed) { reader dispose(); } else { pool add(reader); } } public synchronized void clearUsedMark() { used = false; } public synchronized boolean isUsed() { return used; } public synchronized void dispose() { for (DataFileAccessor reader pool) { reader dispose(); } pool clear(); disposed = true; } public synchronized int getOpenCounter() { return openCounter; } }",1.0,
27,27,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\DataFileAppender.,DataFileAppender,"class DataFileAppender { protected static final byte[] RESERVED SPACE = new byte[AsyncDataManager ITEM HEAD RESERVED SPACE]; protected static final int DEFAULT MAX BATCH SIZE = 1024 * 1024 * 4; protected final AsyncDataManager dataManager; protected final Map<WriteKey, WriteCommand> inflightWrites; protected final Object enqueueMutex = new Object(){}; protected WriteBatch nextWriteBatch; protected boolean shutdown; protected IOException firstAsyncException; protected final CountDownLatch shutdownDone = new CountDownLatch(1); protected int maxWriteBatchSize = DEFAULT MAX BATCH SIZE; protected boolean running; private Thread thread; public static class WriteKey { private final int file; private final long offset; private final int hash; public WriteKey(Location item) { file = item getDataFileId(); offset = item getOffset(); hash = (int)(file ^ offset); } public int hashCode() { return hash; } public boolean equals(Object obj) { if (obj instanceof WriteKey) { WriteKey di = (WriteKey)obj; return di file == file && di offset == offset; } return false; } } public class WriteBatch { public final DataFile dataFile; public final WriteCommand first; public final CountDownLatch latch = new CountDownLatch(1); public int size; public AtomicReference<IOException> exception = new AtomicReference<IOException>(); public WriteBatch(DataFile dataFile, WriteCommand write) throws IOException { this dataFile = dataFile; this first = write; size += write location getSize(); } public boolean canAppend(DataFile dataFile, WriteCommand write) { if (dataFile != this dataFile) { return false; } if (size + write location getSize() >= maxWriteBatchSize) { return false; } return true; } public void append(WriteCommand write) throws IOException { this first getTailNode() linkAfter(write); size += write location getSize(); } } public static class WriteCommand extends LinkedNode { public final Location location; public final ByteSequence data; final boolean sync; public final Runnable onComplete; public WriteCommand(Location location, ByteSequence data, boolean sync) { this location = location; this data = data; this sync = sync; this onComplete=null; } public WriteCommand(Location location, ByteSequence data, Runnable onComplete) { this location = location; this data = data; this onComplete = onComplete; this sync = false; } } public DataFileAppender(AsyncDataManager dataManager) { this dataManager = dataManager; this inflightWrites = this dataManager getInflightWrites(); } public Location storeItem(ByteSequence data, byte type, boolean sync) throws IOException { int size = data getLength() + AsyncDataManager ITEM HEAD FOOT SPACE; final Location location = new Location(); location setSize(size); location setType(type); WriteBatch batch; WriteCommand write = new WriteCommand(location, data, sync); synchronized (this) { DataFile dataFile = dataManager allocateLocation(location); if( !sync ) { inflightWrites put(new WriteKey(location), write); } batch = enqueue(dataFile, write); } location setLatch(batch latch); if (sync) { try { batch latch await(); } catch (InterruptedException e) { throw new InterruptedIOException(); } IOException exception = batch exception get(); if (exception != null) { throw exception; } } return location; } public Location storeItem(ByteSequence data, byte type, Runnable onComplete) throws IOException { int size = data getLength() + AsyncDataManager ITEM HEAD FOOT SPACE; final Location location = new Location(); location setSize(size); location setType(type); WriteBatch batch; WriteCommand write = new WriteCommand(location, data, onComplete); synchronized (this) { DataFile dataFile = dataManager allocateLocation(location); inflightWrites put(new WriteKey(location), write); batch = enqueue(dataFile, write); } location setLatch(batch latch); return location; } private WriteBatch enqueue(DataFile dataFile, WriteCommand write) throws IOException { synchronized (enqueueMutex) { WriteBatch rc = null; if (shutdown) { throw new IOException( Async Writter Thread Shutdown ); } if (!running) { running = true; thread = new Thread() { public void run() { processQueue(); } }; thread setPriority(Thread MAX PRIORITY); thread setDaemon(true); thread setName( ActiveMQ Data File Writer ); thread start(); firstAsyncException = null; } if (firstAsyncException != null) { throw firstAsyncException; } if (nextWriteBatch == null) { nextWriteBatch = new WriteBatch(dataFile, write); rc = nextWriteBatch; enqueueMutex notify(); } else { if (nextWriteBatch canAppend(dataFile, write)) { nextWriteBatch append(write); rc = nextWriteBatch; } else { try { while (nextWriteBatch != null) { enqueueMutex wait(); } } catch (InterruptedException e) { throw new InterruptedIOException(); } if (shutdown) { throw new IOException( Async Writter Thread Shutdown ); } nextWriteBatch = new WriteBatch(dataFile, write); rc = nextWriteBatch; enqueueMutex notify(); } } return rc; } } public void close() throws IOException { synchronized (enqueueMutex) { if (!shutdown) { shutdown = true; if (running) { enqueueMutex notifyAll(); } else { shutdownDone countDown(); } } } try { shutdownDone await(); } catch (InterruptedException e) { throw new InterruptedIOException(); } } protected void processQueue() { DataFile dataFile = null; RandomAccessFile file = null; WriteBatch wb = null; try { DataByteArrayOutputStream buff = new DataByteArrayOutputStream(maxWriteBatchSize); while (true) { Object o = null; synchronized (enqueueMutex) { while (true) { if (nextWriteBatch != null) { o = nextWriteBatch; nextWriteBatch = null; break; } if (shutdown) { return; } enqueueMutex wait(); } enqueueMutex notify(); } wb = (WriteBatch)o; if (dataFile != wb dataFile) { if (file != null) { dataFile closeRandomAccessFile(file); } dataFile = wb dataFile; file = dataFile openRandomAccessFile(true); } WriteCommand write = wb first; file seek(write location getOffset()); boolean forceToDisk=false; if (wb size == write location getSize()) { forceToDisk = write sync | write onComplete!=null; file writeInt(write location getSize()); file writeByte(write location getType()); file write(RESERVED SPACE); file write(AsyncDataManager ITEM HEAD SOR); file write(write data getData(), write data getOffset(), write data getLength()); file write(AsyncDataManager ITEM HEAD EOR); } else { while (write != null) { forceToDisk |= write sync | write onComplete!=null; buff writeInt(write location getSize()); buff writeByte(write location getType()); buff write(RESERVED SPACE); buff write(AsyncDataManager ITEM HEAD SOR); buff write(write data getData(), write data getOffset(), write data getLength()); buff write(AsyncDataManager ITEM HEAD EOR); write = (WriteCommand)write getNext(); } ByteSequence sequence = buff toByteSequence(); file write(sequence getData(), sequence getOffset(), sequence getLength()); buff reset(); } if( forceToDisk ) { file getFD() sync(); } WriteCommand lastWrite = (WriteCommand)wb first getTailNode(); dataManager setLastAppendLocation(lastWrite location); write = wb first; while (write != null) { if (!write sync) { inflightWrites remove(new WriteKey(write location)); } if( write onComplete !=null ) { try { write onComplete run(); } catch (Throwable e) { e printStackTrace(); } } write = (WriteCommand)write getNext(); } wb latch countDown(); } } catch (IOException e) { synchronized (enqueueMutex) { firstAsyncException = e; if (wb != null) { wb latch countDown(); wb exception set(e); } if (nextWriteBatch != null) { nextWriteBatch latch countDown(); nextWriteBatch exception set(e); } } } catch (InterruptedException e) { } finally { try { if (file != null) { dataFile closeRandomAccessFile(file); } } catch (Throwable ignore) { } shutdownDone countDown(); } } }",1.0,
28,28,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\DataFileAppender.,WriteKey,public static class WriteKey { private final int file; private final long offset; private final int hash; public WriteKey(Location item) { file = item getDataFileId(); offset = item getOffset(); hash = (int)(file ^ offset); } public int hashCode() { return hash; } public boolean equals(Object obj) { if (obj instanceof WriteKey) { WriteKey di = (WriteKey)obj; return di file == file && di offset == offset; } return false; } },1.0,
29,29,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\DataFileAppender.,WriteBatch,"public class WriteBatch { public final DataFile dataFile; public final WriteCommand first; public final CountDownLatch latch = new CountDownLatch(1); public int size; public AtomicReference<IOException> exception = new AtomicReference<IOException>(); public WriteBatch(DataFile dataFile, WriteCommand write) throws IOException { this dataFile = dataFile; this first = write; size += write location getSize(); } public boolean canAppend(DataFile dataFile, WriteCommand write) { if (dataFile != this dataFile) { return false; } if (size + write location getSize() >= maxWriteBatchSize) { return false; } return true; } public void append(WriteCommand write) throws IOException { this first getTailNode() linkAfter(write); size += write location getSize(); } }",1.0,
30,30,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\DataFileAppender.,WriteCommand,"public static class WriteCommand extends LinkedNode { public final Location location; public final ByteSequence data; final boolean sync; public final Runnable onComplete; public WriteCommand(Location location, ByteSequence data, boolean sync) { this location = location; this data = data; this sync = sync; this onComplete=null; } public WriteCommand(Location location, ByteSequence data, Runnable onComplete) { this location = location; this data = data; this onComplete = onComplete; this sync = false; } }",1.0,
34,34,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\impl\async\JournalFacade.,RecordLocationFacade,public static class RecordLocationFacade implements RecordLocation { private final Location location; public RecordLocationFacade(Location location) { this location = location; } public Location getLocation() { return location; } public int compareTo(Object o) { RecordLocationFacade rlf = (RecordLocationFacade)o; int rc = location compareTo(rlf location); return rc; } },1.0,
